model,family,param_size,training_status,samples,accuracy,precision,recall,f1,roc_auc
legal_bert_109m_trained,legal_bert,109M,trained,1974,0.9260385005065856,0.9359190556492412,0.8371040723981901,0.8837579617834395,0.9790558598608134
legal_bert_57m_trained,legal_bert,57M,trained,1974,0.9204660587639311,0.891640866873065,0.8687782805429864,0.880061115355233,0.976914218131071
gru,gru,n/a,unknown,1754,0.8854047890535918,0.8181818181818182,0.8959276018099548,0.8552915766738661,0.9563230213470144
bert_109m_trained,bert,109M,trained,1974,0.8991894630192503,0.8515151515151516,0.8476621417797888,0.8495842781557067,0.9672656130456642
lstm,lstm,n/a,unknown,1754,0.8797035347776511,0.8174157303370787,0.8778280542986425,0.8465454545454546,0.956890533129278
bert_57m_trained,bert,57M,trained,1974,0.8961499493414387,0.865814696485623,0.8174962292609351,0.8409619860356866,0.9663354398850428
bert_base_untrained,bert,base,untrained,1974,0.34802431610942247,0.3204833141542002,0.8401206636500754,0.46397334443981675,0.504994287804895
legal_bert_base_untrained,legal_bert,base,untrained,1974,0.5309017223910841,0.26559714795008915,0.22473604826546004,0.2434640522875817,0.44015138179897906
